#{"env_id": "MountainCar-v0", "t_start": 1517941374.045607}
r,l,t
-200.0,200,735.719559
-200.0,200,737.323783
-200.0,200,738.899403
-200.0,200,740.467184
-200.0,200,742.019252
-200.0,200,743.499259
-200.0,200,745.060874
-200.0,200,746.611673
-200.0,200,748.154062
-200.0,200,749.707233
-200.0,200,751.24425
-200.0,200,752.813489
-200.0,200,754.372176
-200.0,200,755.93921
-200.0,200,757.506806
-200.0,200,759.079682
-200.0,200,760.65939
-200.0,200,762.118762
-200.0,200,763.701335
-200.0,200,765.279687
-200.0,200,766.855067
-200.0,200,768.405028
-200.0,200,769.96756
-200.0,200,771.551709
-200.0,200,773.125732
-200.0,200,774.701068
-200.0,200,776.279777
-200.0,200,777.855005
-200.0,200,779.412625
-200.0,200,780.866678
-200.0,200,782.456752
-200.0,200,784.037144
-200.0,200,785.614468
-200.0,200,787.154845
-200.0,200,788.738719
-200.0,200,790.315532
-200.0,200,791.901924
-200.0,200,793.469955
-200.0,200,795.027073
-200.0,200,796.60612
-200.0,200,798.158311
-200.0,200,799.60961
-200.0,200,801.170789
-200.0,200,802.738509
-200.0,200,804.310789
-200.0,200,805.870086
-200.0,200,807.450479
-200.0,200,809.037209
-200.0,200,810.616289
-200.0,200,812.223591
-200.0,200,813.761862
-200.0,200,815.326203
-200.0,200,816.884884
-200.0,200,818.483761
-200.0,200,819.935531
-200.0,200,821.500258
-200.0,200,823.053129
-200.0,200,824.62043
-200.0,200,826.189717
-200.0,200,827.746676
-200.0,200,829.306796
-200.0,200,830.879209
-200.0,200,832.448831
-200.0,200,834.033954
-200.0,200,835.598311
-200.0,200,837.162347
-200.0,200,838.604734
-200.0,200,840.16975
-200.0,200,841.745824
-200.0,200,843.335837
-200.0,200,844.917913
-200.0,200,846.453733
-200.0,200,848.032637
-200.0,200,849.618719
-200.0,200,851.173086
-200.0,200,852.749083
-200.0,200,854.369749
-200.0,200,855.95798
-200.0,200,857.415941
-200.0,200,858.990497
-200.0,200,860.557303
-200.0,200,862.112996
-200.0,200,863.705968
-200.0,200,865.275296
-200.0,200,866.876873
-200.0,200,868.444548
-200.0,200,870.010793
-200.0,200,871.567309
-200.0,200,873.143379
-200.0,200,874.716076
-200.0,200,876.170369
-200.0,200,877.746984
-200.0,200,879.324106
-200.0,200,880.889416
-200.0,200,882.456048
-200.0,200,884.010991
-200.0,200,885.576723
-200.0,200,887.142158
-200.0,200,888.704476
-200.0,200,890.263583
-200.0,200,891.837312
-200.0,200,893.387855
-200.0,200,894.833929
-200.0,200,896.404388
-200.0,200,897.950582
-200.0,200,899.520201
-200.0,200,901.068932
-200.0,200,902.655448
-200.0,200,904.229055
-200.0,200,905.781239
-200.0,200,907.340491
-200.0,200,908.898793
-200.0,200,910.493877
-200.0,200,912.071428
-200.0,200,913.656832
-200.0,200,915.113932
-200.0,200,916.685018
-200.0,200,918.248278
-200.0,200,919.791233
-200.0,200,921.340527
-200.0,200,922.905766
-200.0,200,924.44081
-200.0,200,926.02571
-200.0,200,927.577009
-200.0,200,929.165155
-200.0,200,930.722241
-200.0,200,932.304841
-200.0,200,933.766607
-200.0,200,935.38191
-200.0,200,936.965533
-200.0,200,938.600466
-200.0,200,940.183248
-200.0,200,941.742026
-200.0,200,943.331636
-200.0,200,944.914175
-200.0,200,946.472003
-200.0,200,948.043439
-200.0,200,949.617003
-200.0,200,951.189244
-200.0,200,952.626514
-200.0,200,954.190932
-200.0,200,955.740736
-200.0,200,957.297049
-200.0,200,958.864382
-200.0,200,960.445395
-200.0,200,962.005366
-200.0,200,963.569834
-200.0,200,965.116191
-200.0,200,966.693283
-200.0,200,968.249271
-200.0,200,969.814539
-200.0,200,971.301727
-200.0,200,972.857182
-200.0,200,974.446452
-200.0,200,976.009309
-200.0,200,977.574374
-200.0,200,979.152437
-200.0,200,980.727947
-200.0,200,982.294276
-200.0,200,983.847391
-200.0,200,985.422943
-200.0,200,987.00277
-200.0,200,988.577642
-200.0,200,990.147559
-200.0,200,991.603677
-200.0,200,993.152543
-200.0,200,994.72072
-200.0,200,996.294854
-200.0,200,997.899755
-200.0,200,999.456933
-200.0,200,1001.025677
-200.0,200,1002.59786
-200.0,200,1004.183109
-200.0,200,1005.749696
-200.0,200,1006.917322
-200.0,200,1008.512562
-200.0,200,1009.974849
-200.0,200,1011.544284
-200.0,200,1013.119079
-200.0,200,1014.709927
-200.0,200,1016.297545
-200.0,200,1017.885772
-200.0,200,1019.492784
-200.0,200,1021.078416
-200.0,200,1022.624859
-200.0,200,1024.17897
-200.0,200,1025.74025
-200.0,200,1027.297052
-200.0,200,1028.870147
-200.0,200,1030.326482
-200.0,200,1031.916833
-200.0,200,1033.495606
-200.0,200,1035.079197
-200.0,200,1036.663824
-200.0,200,1038.228264
-200.0,200,1039.788775
-200.0,200,1041.330948
-200.0,200,1042.879246
-200.0,200,1044.444032
-200.0,200,1045.975296
-200.0,200,1047.543599
-200.0,200,1048.999674
-200.0,200,1050.555583
-200.0,200,1052.13675
-200.0,200,1053.70407
-200.0,200,1055.292211
-200.0,200,1056.824557
-200.0,200,1058.390257
-200.0,200,1059.95156
-200.0,200,1061.544498
-200.0,200,1063.112752
-200.0,200,1064.678234
-200.0,200,1066.225802
-200.0,200,1067.679969
-200.0,200,1069.252342
-200.0,200,1070.796489
-200.0,200,1072.375691
-200.0,200,1073.922825
-200.0,200,1075.473003
-200.0,200,1077.030072
-200.0,200,1078.585914
-200.0,200,1080.16942
-200.0,200,1081.743925
-200.0,200,1083.314539
-200.0,200,1084.877608
-200.0,200,1086.327081
-200.0,200,1087.8985
-200.0,200,1089.468994
-200.0,200,1091.029363
-200.0,200,1092.609613
-200.0,200,1094.179734
-200.0,200,1095.763435
-200.0,200,1097.336645
-200.0,200,1098.909606
-200.0,200,1100.480468
-200.0,200,1102.045173
-200.0,200,1103.622627
-200.0,200,1105.186859
-200.0,200,1106.683887
-200.0,200,1108.251361
-200.0,200,1109.826471
-200.0,200,1111.371464
-200.0,200,1112.956942
-200.0,200,1114.523
-200.0,200,1116.103094
-200.0,200,1117.718633
-200.0,200,1119.311299
-200.0,200,1120.876089
-200.0,200,1122.447894
-200.0,200,1124.025012
-200.0,200,1125.528397
-200.0,200,1127.093719
-200.0,200,1128.638113
-200.0,200,1130.211408
-200.0,200,1131.782311
-200.0,200,1133.339231
-200.0,200,1134.907015
-200.0,200,1136.512764
-200.0,200,1138.109232
-200.0,200,1139.708212
-200.0,200,1141.28763
-200.0,200,1142.883999
-200.0,200,1144.355307
-200.0,200,1145.985632
-200.0,200,1147.597941
-200.0,200,1149.29811
-200.0,200,1150.913202
-200.0,200,1152.493477
-200.0,200,1154.084698
-200.0,200,1155.687703
-200.0,200,1157.262183
-200.0,200,1158.83654
-200.0,200,1160.442242
-200.0,200,1162.008852
-200.0,200,1163.59697
-200.0,200,1165.090595
-200.0,200,1166.686622
-200.0,200,1168.257019
-200.0,200,1169.822802
-200.0,200,1171.40033
-200.0,200,1172.987813
-200.0,200,1174.609017
-200.0,200,1176.204568
-200.0,200,1177.781782
-200.0,200,1179.363749
-200.0,200,1180.953205
-200.0,200,1182.507696
-200.0,200,1183.950842
-200.0,200,1185.517371
-200.0,200,1187.076597
-200.0,200,1188.654986
-200.0,200,1190.222304
-200.0,200,1191.788846
-200.0,200,1193.362042
-200.0,200,1194.93895
-200.0,200,1196.492118
-200.0,200,1198.065319
-200.0,200,1199.650833
-200.0,200,1201.202932
-200.0,200,1202.669557
-200.0,200,1204.220351
-200.0,200,1205.775963
-200.0,200,1207.324764
-200.0,200,1208.887223
-200.0,200,1210.446523
-200.0,200,1212.001038
-200.0,200,1213.582402
-200.0,200,1215.173167
-200.0,200,1216.755342
-200.0,200,1218.315432
-200.0,200,1219.85851
-200.0,200,1221.314207
-200.0,200,1222.860482
-200.0,200,1224.488461
-200.0,200,1226.051606
-200.0,200,1227.608747
-200.0,200,1229.173815
-200.0,200,1230.729372
-200.0,200,1232.283441
-200.0,200,1233.849006
-200.0,200,1235.410642
-200.0,200,1236.965747
-200.0,200,1238.533662
-200.0,200,1240.073447
-200.0,200,1241.543848
-200.0,200,1243.110405
-200.0,200,1244.679285
-200.0,200,1246.260323
-200.0,200,1247.837498
-200.0,200,1249.422233
-200.0,200,1250.984679
-200.0,200,1252.595844
-200.0,200,1254.155674
-200.0,200,1255.72834
-200.0,200,1257.311888
-200.0,200,1258.880621
-200.0,200,1260.327427
-200.0,200,1261.905656
-200.0,200,1263.476925
-200.0,200,1265.066994
-200.0,200,1266.631358
-200.0,200,1268.221711
-200.0,200,1269.785809
-200.0,200,1271.363725
-200.0,200,1272.944419
-200.0,200,1274.525845
-200.0,200,1276.063724
-200.0,200,1277.627789
-200.0,200,1279.086349
-200.0,200,1280.633044
-200.0,200,1282.185592
-200.0,200,1283.766015
-200.0,200,1285.326377
-200.0,200,1286.884296
-200.0,200,1288.445296
-200.0,200,1290.021497
-200.0,200,1291.61685
-200.0,200,1293.21012
-200.0,200,1294.780795
-200.0,200,1296.339023
-200.0,200,1297.786839
-200.0,200,1299.364007
-200.0,200,1300.917646
-200.0,200,1302.473433
-200.0,200,1304.048488
-200.0,200,1305.615791
-200.0,200,1307.201175
-200.0,200,1308.794549
-200.0,200,1310.361543
-200.0,200,1311.931163
-200.0,200,1313.512035
-200.0,200,1315.060844
-200.0,200,1316.576397
-200.0,200,1318.072984
-200.0,200,1319.63015
-200.0,200,1321.207446
-200.0,200,1322.7884
-200.0,200,1324.380599
-200.0,200,1325.957137
-200.0,200,1327.534128
-200.0,200,1329.127121
-200.0,200,1330.745428
-200.0,200,1332.328864
-200.0,200,1333.934889
-200.0,200,1335.577815
-200.0,200,1337.080833
-200.0,200,1338.667947
-200.0,200,1340.262049
-200.0,200,1341.841533
-200.0,200,1343.429657
-200.0,200,1345.024744
-200.0,200,1346.624116
-200.0,200,1348.191867
-200.0,200,1349.806895
-200.0,200,1351.379546
-200.0,200,1352.979068
-200.0,200,1354.609394
-200.0,200,1356.113672
-200.0,200,1357.730171
-200.0,200,1359.307878
-200.0,200,1360.918775
-200.0,200,1362.518814
-200.0,200,1364.11803
-200.0,200,1365.730566
-200.0,200,1367.291288
-200.0,200,1368.887349
-200.0,200,1370.467568
-200.0,200,1372.05797
-200.0,200,1373.684588
-200.0,200,1375.317747
-200.0,200,1376.833807
-200.0,200,1378.461199
-200.0,200,1380.056583
-200.0,200,1381.660394
-200.0,200,1383.200446
-200.0,200,1384.774917
-200.0,200,1386.344976
-200.0,200,1387.928483
-200.0,200,1389.507864
-200.0,200,1391.054493
-200.0,200,1392.626073
-200.0,200,1394.188078
-200.0,200,1395.657103
-200.0,200,1397.238774
-200.0,200,1398.798043
-200.0,200,1400.385329
-200.0,200,1401.948038
-200.0,200,1403.52555
-200.0,200,1405.092568
-200.0,200,1406.656647
-200.0,200,1408.223305
-200.0,200,1409.798617
-200.0,200,1411.408579
-200.0,200,1412.99715
-200.0,200,1414.445928
-200.0,200,1416.014954
-200.0,200,1417.597108
-200.0,200,1419.212735
-200.0,200,1420.814485
-200.0,200,1422.450321
-200.0,200,1424.047906
-200.0,200,1425.656663
-200.0,200,1427.211757
-200.0,200,1428.796131
-200.0,200,1430.382535
-200.0,200,1431.991929
-200.0,200,1433.564012
