#{"env_id": "MountainCar-v0", "t_start": 1518011461.949919}
r,l,t
-200.0,200,679.671293
-200.0,200,680.684031
-200.0,200,681.711212
-200.0,200,682.743059
-162.0,162,683.604154
-157.0,157,684.422536
-162.0,162,685.239655
-160.0,160,686.080413
-154.0,154,686.877336
-166.0,166,687.756205
-154.0,154,688.562124
-153.0,153,689.345758
-200.0,200,690.378089
-159.0,159,691.193076
-200.0,200,692.187326
-200.0,200,693.191392
-155.0,155,693.971164
-161.0,161,694.787835
-166.0,166,695.627436
-200.0,200,696.643437
-200.0,200,697.682541
-155.0,155,698.489175
-156.0,156,699.285244
-200.0,200,700.322642
-200.0,200,701.343556
-200.0,200,702.367932
-168.0,168,703.232765
-200.0,200,704.280485
-157.0,157,705.10491
-200.0,200,706.12937
-168.0,168,707.022334
-200.0,200,708.047228
-200.0,200,709.068256
-200.0,200,710.068425
-200.0,200,711.068622
-200.0,200,712.052667
-200.0,200,713.077489
-200.0,200,714.075006
-200.0,200,715.078351
-200.0,200,716.064835
-200.0,200,717.122995
-200.0,200,718.131186
-200.0,200,719.190908
-200.0,200,720.20744
-200.0,200,721.235142
-200.0,200,722.265432
-200.0,200,723.287075
-200.0,200,724.311995
-200.0,200,725.341017
-200.0,200,726.383243
-200.0,200,727.42141
-200.0,200,728.427533
-200.0,200,729.429387
-200.0,200,730.442029
-200.0,200,731.441977
-200.0,200,732.45711
-200.0,200,733.46895
-200.0,200,734.476788
-200.0,200,735.501721
-200.0,200,736.490805
-200.0,200,737.551011
-200.0,200,738.581279
-200.0,200,739.593039
-200.0,200,740.6042
-200.0,200,741.650406
-200.0,200,742.672678
-200.0,200,743.686989
-200.0,200,744.716429
-200.0,200,745.755675
-200.0,200,746.766741
-200.0,200,747.81212
-200.0,200,748.844855
-200.0,200,749.86805
-200.0,200,750.864977
-200.0,200,751.892405
-200.0,200,752.921439
-200.0,200,753.929688
-200.0,200,754.935139
-200.0,200,755.948291
-200.0,200,756.973455
-200.0,200,758.021484
-200.0,200,759.035749
-200.0,200,760.075166
-200.0,200,761.088824
-200.0,200,762.12127
-200.0,200,763.160564
-200.0,200,764.175046
-200.0,200,765.210587
-200.0,200,766.252431
-200.0,200,767.281848
-200.0,200,768.311679
-200.0,200,769.3276
-200.0,200,770.358098
-200.0,200,771.408779
-200.0,200,772.460048
-200.0,200,773.495527
-200.0,200,774.513052
-200.0,200,775.539473
-200.0,200,776.553499
-200.0,200,777.768741
-200.0,200,778.86163
-200.0,200,779.891133
-200.0,200,780.926016
-200.0,200,781.928392
-200.0,200,782.950375
-200.0,200,783.963064
-200.0,200,784.970004
-200.0,200,786.018451
-200.0,200,787.046383
-200.0,200,788.076713
-200.0,200,789.107409
-200.0,200,790.112331
-200.0,200,791.117328
-200.0,200,792.134457
-200.0,200,793.132247
-200.0,200,794.181735
-200.0,200,795.189369
-200.0,200,796.20867
-200.0,200,797.22004
-200.0,200,798.228719
-200.0,200,799.272505
-200.0,200,800.295818
-200.0,200,801.316761
-200.0,200,802.348313
-200.0,200,803.39103
-200.0,200,804.419786
-200.0,200,805.431815
-200.0,200,806.446325
-200.0,200,807.478212
-200.0,200,808.499645
-200.0,200,809.528359
-200.0,200,810.537709
-200.0,200,811.538587
-200.0,200,812.545744
-200.0,200,813.546891
-200.0,200,814.564075
-200.0,200,815.57344
-200.0,200,816.590263
-200.0,200,817.603111
-200.0,200,818.600829
-200.0,200,819.637521
-200.0,200,820.663435
-200.0,200,821.694802
-200.0,200,822.711788
-183.0,183,823.64565
-200.0,200,824.674808
-200.0,200,825.687786
-200.0,200,826.707895
-186.0,186,827.653683
-190.0,190,828.620651
-190.0,190,829.612021
-184.0,184,830.535177
-193.0,193,831.506716
-196.0,196,832.513106
-197.0,197,833.510958
-93.0,93,833.994532
-200.0,200,835.018224
-200.0,200,836.035979
-173.0,173,836.904397
-177.0,177,837.807159
-173.0,173,838.734238
-200.0,200,839.751384
-200.0,200,840.764237
-200.0,200,841.777772
-176.0,176,842.675666
-180.0,180,843.609324
-200.0,200,844.661907
-200.0,200,845.691998
-176.0,176,846.586178
-200.0,200,847.600672
-200.0,200,848.643486
-200.0,200,849.649394
-175.0,175,850.525522
-200.0,200,851.524653
-200.0,200,852.545283
-183.0,183,853.474947
-200.0,200,854.472999
-100.0,100,854.983826
-200.0,200,855.994174
-200.0,200,857.004234
-200.0,200,858.030085
-190.0,190,858.995293
-97.0,97,859.510718
-200.0,200,860.530485
-200.0,200,861.559709
-200.0,200,862.575795
-98.0,98,863.079778
-200.0,200,864.105236
-200.0,200,865.124379
-200.0,200,866.157185
-200.0,200,867.181931
-200.0,200,868.204746
-200.0,200,869.211425
-200.0,200,870.231392
-200.0,200,871.25521
-200.0,200,872.255173
-193.0,193,873.220799
-200.0,200,874.243996
-89.0,89,874.705133
-92.0,92,875.183918
-200.0,200,876.21464
-200.0,200,877.228642
-200.0,200,878.24669
-95.0,95,878.722308
-128.0,128,879.377829
-200.0,200,880.407528
-191.0,191,881.380356
-97.0,97,881.878234
-200.0,200,882.897208
-173.0,173,883.786755
-200.0,200,884.820229
-92.0,92,885.295263
-101.0,101,885.804468
-200.0,200,886.810507
-88.0,88,887.250986
-166.0,166,888.086108
-200.0,200,889.097765
-200.0,200,890.13126
-200.0,200,891.158879
-200.0,200,892.202075
-200.0,200,893.265342
-200.0,200,894.325438
-90.0,90,894.789337
-167.0,167,895.649378
-200.0,200,896.672205
-200.0,200,897.69529
-171.0,171,898.583702
-162.0,162,899.417674
-164.0,164,900.271475
-200.0,200,901.317504
-200.0,200,902.360985
-200.0,200,903.388419
-200.0,200,904.394314
-158.0,158,905.196951
-200.0,200,906.211414
-200.0,200,907.198143
-166.0,166,908.057863
-200.0,200,909.070413
-200.0,200,910.073595
-164.0,164,910.906848
-200.0,200,911.942546
-86.0,86,912.384699
-200.0,200,913.410371
-200.0,200,914.421227
-200.0,200,915.448976
-164.0,164,916.291692
-200.0,200,917.312983
-164.0,164,918.161886
-200.0,200,919.177957
-200.0,200,920.214124
-163.0,163,921.06158
-164.0,164,921.902665
-200.0,200,922.905847
-162.0,162,923.743338
-163.0,163,924.55823
-200.0,200,925.543448
-171.0,171,926.397988
-162.0,162,927.19899
-200.0,200,928.213489
-200.0,200,929.228737
-159.0,159,930.052062
-200.0,200,931.0716
-200.0,200,932.106604
-200.0,200,933.152065
-200.0,200,934.180923
-200.0,200,935.196496
-200.0,200,936.219456
-200.0,200,937.259841
-200.0,200,938.270998
-200.0,200,939.301693
-200.0,200,940.357137
-200.0,200,941.381232
-200.0,200,942.377004
-200.0,200,943.365585
-200.0,200,944.373672
-200.0,200,945.371535
-200.0,200,946.39025
-200.0,200,947.401081
-200.0,200,948.40078
-200.0,200,949.409666
-200.0,200,950.444899
-200.0,200,951.473303
-200.0,200,952.526946
-200.0,200,953.551369
-200.0,200,954.577193
-195.0,195,955.587659
-200.0,200,956.612921
-200.0,200,957.672656
-200.0,200,958.700396
-116.0,116,959.301715
-200.0,200,960.381497
-200.0,200,961.381288
-135.0,135,962.051404
-200.0,200,963.059282
-200.0,200,964.063926
-200.0,200,965.068911
-200.0,200,966.085785
-127.0,127,966.719607
-200.0,200,967.740871
-134.0,134,968.445453
-200.0,200,969.475771
-200.0,200,970.525212
-200.0,200,971.566086
-200.0,200,972.580863
-198.0,198,973.620042
-129.0,129,974.282667
-200.0,200,975.311553
-200.0,200,976.33592
-129.0,129,976.98767
-126.0,126,977.622509
-200.0,200,978.664124
-131.0,131,979.346588
-200.0,200,980.353699
-178.0,178,981.269384
-129.0,129,981.907176
-200.0,200,982.903107
-119.0,119,983.514478
-131.0,131,984.17468
