#{"env_id": "MountainCar-v0", "t_start": 1518014083.279501}
r,l,t
-200.0,200,556.711508
-200.0,200,558.037151
-200.0,200,559.254272
-200.0,200,560.453385
-200.0,200,561.65292
-200.0,200,562.854904
-200.0,200,564.059592
-200.0,200,565.266767
-200.0,200,566.453161
-200.0,200,567.665912
-200.0,200,568.858813
-200.0,200,570.079334
-200.0,200,571.273082
-200.0,200,572.4551
-200.0,200,573.66384
-200.0,200,574.860666
-200.0,200,576.073225
-200.0,200,577.289425
-200.0,200,578.505956
-200.0,200,579.701772
-200.0,200,580.899543
-200.0,200,582.149296
-200.0,200,583.339042
-200.0,200,584.530216
-200.0,200,585.748761
-200.0,200,586.96944
-200.0,200,588.167466
-200.0,200,589.376072
-200.0,200,590.565341
-200.0,200,591.753097
-200.0,200,592.951153
-177.0,177,594.023505
-200.0,200,595.251612
-200.0,200,596.455795
-200.0,200,597.665605
-200.0,200,598.872112
-200.0,200,600.077615
-200.0,200,601.284737
-200.0,200,602.485071
-200.0,200,603.675103
-200.0,200,604.875058
-200.0,200,606.089248
-200.0,200,607.506118
-200.0,200,608.722247
-200.0,200,609.917828
-200.0,200,611.108562
-200.0,200,612.316266
-200.0,200,613.507568
-200.0,200,614.709493
-200.0,200,615.922592
-200.0,200,617.144795
-200.0,200,618.366029
-200.0,200,619.588849
-200.0,200,620.811449
-200.0,200,622.02549
-200.0,200,623.221753
-200.0,200,624.437208
-200.0,200,625.642733
-200.0,200,626.836484
-200.0,200,628.039762
-200.0,200,629.234922
-200.0,200,630.45453
-200.0,200,631.645519
-200.0,200,632.85377
-200.0,200,634.04016
-200.0,200,635.243979
-200.0,200,636.446249
-200.0,200,637.645552
-200.0,200,638.84226
-200.0,200,640.084171
-196.0,196,641.265069
-200.0,200,642.493428
-152.0,152,643.393378
-200.0,200,644.5936
-200.0,200,645.792172
-200.0,200,646.99821
-200.0,200,648.197815
-200.0,200,649.398872
-200.0,200,650.619932
-200.0,200,651.816374
-200.0,200,653.021399
-200.0,200,654.242863
-200.0,200,655.43924
-200.0,200,656.63116
-200.0,200,657.828934
-200.0,200,659.028971
-200.0,200,660.229877
-185.0,185,661.340226
-200.0,200,662.521938
-200.0,200,663.709545
-200.0,200,664.910087
-200.0,200,666.139784
-200.0,200,667.563331
-200.0,200,668.812404
-200.0,200,670.067471
-200.0,200,671.309995
-157.0,157,672.309914
-200.0,200,673.498159
-200.0,200,674.731156
-122.0,122,675.461614
-200.0,200,676.646132
-200.0,200,677.881257
-200.0,200,679.075933
-200.0,200,680.277544
-200.0,200,681.813397
-200.0,200,683.332288
-200.0,200,684.962193
-200.0,200,686.320508
-200.0,200,687.66701
-200.0,200,689.250427
-200.0,200,690.588191
-200.0,200,692.197278
-200.0,200,693.698548
-200.0,200,695.057705
-200.0,200,696.473179
-200.0,200,697.859892
-200.0,200,699.430392
-200.0,200,700.965796
-200.0,200,702.415649
-179.0,179,703.71785
-200.0,200,705.075637
-200.0,200,706.472894
-200.0,200,707.826131
-200.0,200,709.173161
-200.0,200,710.507209
-200.0,200,711.895104
-200.0,200,713.26683
-200.0,200,714.631981
-200.0,200,715.996339
-200.0,200,717.371806
-200.0,200,718.715144
-200.0,200,720.07973
-198.0,198,721.444839
-200.0,200,722.841185
-187.0,187,724.239607
-200.0,200,725.627718
-200.0,200,727.080194
-173.0,173,728.257889
-200.0,200,729.598979
-200.0,200,730.951318
-88.0,88,731.585779
-200.0,200,732.975334
-200.0,200,734.351273
-200.0,200,735.965117
-200.0,200,737.349531
-200.0,200,738.705189
-200.0,200,740.125498
-180.0,180,741.36471
-200.0,200,742.711484
-200.0,200,744.079734
-200.0,200,745.438078
-165.0,165,746.590128
-200.0,200,747.992721
-175.0,175,749.171515
-200.0,200,750.539587
-200.0,200,751.917387
-200.0,200,753.309628
-200.0,200,754.661176
-120.0,120,755.643624
-200.0,200,757.248447
-149.0,149,758.408855
-200.0,200,759.985406
-200.0,200,761.384159
